,Anteil,Unnamed: 1,Company,BO,DS,Country
0,5.01%,0,ARYZTA AG,Francisco Garcia Parames,, Spain
1,5.01%,1,ARYZTA AG,Maria Angeles Leon Lopez,"Cobas Asset Management, SGIIC, S.A.", Spain
2,3.004%,0,ARYZTA AG,Norges Bank (the Cnetral Bank of (Norway),, Norway
3,3.021%,0,ARYZTA AG,Oppenheimer International Growth Fund,, United States
4,3.18%,0,ARYZTA AG,Deutsche Bank Aktiengesellschaft,, Germany
5,4.31%,0,ARYZTA AG,ARYZTA AG,, Switzerland
6,4.97%,0,ARYZTA AG,Black Creek Investment Management Inc.,, Canada
7,4.98%,0,ARYZTA AG,Causeway Capital Management LLC,, United States
8,5.03%,0,ARYZTA AG,CI Financial Corp.,, Canada
9,5.85%,0,ARYZTA AG,JO Hambro Capital Management Ltd,, United Kingdom
