,Anteil,Unnamed: 1,Company,BO,DS,Country
0,10.68%,0.0,Allreal Holding AG,Helvetia Holding AG,, St. Gallen
1,3.004%,0.0,Allreal Holding AG,Dimensional Holdings Inc.,, c
2,3.11%,0.0,Allreal Holding AG,Basellandschaftliche Pensionskasse,, CH
3,1.76%,0.0,Allreal Holding AG,Schweizerische Mobiliar Genossenschaft,, Bern
4,1.76%,1.0,Allreal Holding AG,Pensionskasse der Mitarbeitenden der Gruppe Mobiliar,Schweizerische Mobiliar Versicherungsgesellschaft AG, Bern
5,4.35%,0.0,Allreal Holding AG,PKE Vorsorgestiftung Energie,, CH
6,4.84%,0.0,Allreal Holding AG,"BlackRock, Inc.",,
7,6.03%,0.0,Allreal Holding AG,Credit Suisse Funds AG,, Schweiz
8,,,,BlackRock,, USA
9,,,,o Corporation Service Company,, USA
