,Anteil,Unnamed: 1,Company,BO,DS,Country
0,6.4271%,0.0,BELIMO Holding AG,Walter Linsi,, Schweiz
1,6.4271%,1.0,BELIMO Holding AG,Ursula Linsi,, Schweiz
2,6.4271%,2.0,BELIMO Holding AG,Bernadette Kälin,, Schweiz
3,0.755%,0.0,BELIMO Holding AG,"BlackRock, Inc.",,
4,0.755%,0.0,BELIMO Holding AG,"BlackRock, Inc.",,
5,3.06%,0.0,BELIMO Holding AG,"BlackRock, Inc.",,
6,0.755%,0.0,BELIMO Holding AG,1832 Asset Management L.P.,, Canada
7,0.755%,0.0,BELIMO Holding AG,1832 Asset Management L.P.,, Canada
8,3.557%,0.0,BELIMO Holding AG,Ameriprise Financial Inc.,, USA
9,5.2088%,0.0,BELIMO Holding AG,"The Capital Group Companies, Inc.",,
10,,,,BlackRock,, U.S.A.
11,,,,Claudia Linsi,, Schweiz
12,,,,Urban Linsi,, Schweiz
13,,,,Bernadette  ,,Bernadette  
14,,,, Urban Kälin ,, Urban Kälin 
15,,,,  Linsi,, Schweiz
16,,,,U.W. Linsi-Stiftung,, Schweiz
17,,,,Selim Kälin,, Schweiz
18,,,,Mirjana Kälin,, Schweiz
19,,,,The Capital Group Companies,, USA
