,Anteil,Unnamed: 1,Company,BO,DS,Country
0,14.0725%,0.0,Bossard Holding AG,"Beat Grob-Wespi,",,
1,14.0725%,1.0,Bossard Holding AG,Susanne Grob Schmuckli,Kolin Holding AG, Schweiz
2,14.0725%,2.0,Bossard Holding AG,Heidy Bossard-Küng,, Schweiz
3,14.0725%,3.0,Bossard Holding AG,Monika Bossard Haisley,, New Zealand
4,,,,Beat Grob-Wespi,, Schweiz
5,,,,Christoph Bossard,, Schweiz
6,,,,Helen Wetter-Bossard,, Schweiz
7,,,,Katharina Bertaggia-Bossard,, Schweiz
8,,,,Silvia Bossard,, Schweiz
9,,,,Christine Bossard,, Schweiz
10,,,,Daniel Bossard,, Schweiz
11,,,,Sophie Schnarrenberger,, Schweiz
12,,,,Raphael Grob,, Schweiz
13,,,,Felix Schnarrenberger,, Schweiz
14,,,,Philipp Wetter,, Schweiz
15,,,,Florian Schmuckli,, Schweiz
16,,,,Leonie Grob,, Schweiz
17,,,,Bossard Unternehmensstiftung,, Schweiz
