,Anteil,Unnamed: 1,Company,BO,DS,Country
0,10.31%,0.0,Burckhardt Compression Holding AG,NN Group N.V.,, The Netherlands
1,2.48%,0.0,Burckhardt Compression Holding AG,Valentin Vogt,, Hombrechtikon
2,2.48%,1.0,Burckhardt Compression Holding AG,Harry Otz,TAW Holding AG, Luzern
3,2.48%,2.0,Burckhardt Compression Holding AG,Leonhard Keller,Kewin Beteiligungen AG, Winterthur
4,2.48%,3.0,Burckhardt Compression Holding AG,Martin Heller,Kewin Holding AG, Schaffhausen
5,2.48%,4.0,Burckhardt Compression Holding AG,Marcel Pawlicek,Gabriela und Marcel Pawlicek-Eicher-Stiftung, Winterthur
6,2.81%,0.0,Burckhardt Compression Holding AG,J O Hambro Capital Management Limited,,
7,3.01%,0.0,Burckhardt Compression Holding AG,UBS Fund Management (Switerland) AG,, Schweiz
8,3.04%,0.0,Burckhardt Compression Holding AG,"BlackRock, Inc.",,
9,3.0545%,0.0,Burckhardt Compression Holding AG,Vontobel Fonds Services AG,, Schweiz
10,3.492%,0.0,Burckhardt Compression Holding AG,Ameriprise Financial Inc,, MN 55474 
11,5.03%,0.0,Burckhardt Compression Holding AG,Atlantic Value General Partner Limited,, EC2V 7JD 
12,,,,BlackRock,, U.S.A.
13,,,, London,, UK
14,,,, Minneapolis,, USA
