,Anteil,Unnamed: 1,Company,BO,DS,Country
0,12.7675%,0.0,Conzzeta AG,Dr. Matthias Auer,, 8754 Netstal
1,12.7675%,1.0,Conzzeta AG,Ruth Byland-Auer,Conzzeta AG, 4125 Riehen
2,12.7675%,2.0,Conzzeta AG,Martin Byland,, 8702 Zollikon
3,12.7675%,3.0,Conzzeta AG,Caliza Holding AG,, 8754 Netstal
4,,,,Marina Marti-Auer,, 8753 Mollis
5,,,,Marina Milz,, 8702 Zollikon
6,,,,Adrian u. Annemarie Herzig-Büchler,, 6944 Cureglia
7,,,,Sven u. Rosmarie Mumenthaler-Sigrist,, 8832 Wilen b. Wollerau
8,,,,Jacob Schmidheiny,, 8702 Zollikon
9,,,,Felix Schmidheiny,, 8852 Altendorf
10,,,,Helen Schmidheiny,, 8004 Zürich
11,,,,Margrit Schmidheiny,, 8702 Zollikon
12,,,,Kathrin Spoerry,, 8810 Horgen
13,,,,Christina Spoerry,, 8803 Rüschlikon
14,,,,Heinrich Spoerry-Niggli,, 8707 Uetikon
15,,,,Lotti Spoerry,, 8703 Erlenbach
16,,,,Robert F. Spoerry,, 8834 Schindellegi
