,Anteil,Unnamed: 1,Company,BO,DS,Country
0,2.6016666666666666%,0.0,DUFRY AG,Andrés Holzer Neumann,, Switzerland
1,2.6016666666666666%,1.0,DUFRY AG,Julian Diaz Gonzalez,Travel Retail Investment S.C.A., Switzerland
2,2.6016666666666666%,2.0,DUFRY AG,Juan Carlos Torres,Petrus PTE Ltd, Switzerland
3,2.6016666666666666%,3.0,DUFRY AG,James S. Cohen,Witherspoon Investments LLC, United States of America
4,2.6016666666666666%,4.0,DUFRY AG,James S. Cohen Family Dynasty Trust,Petrus AG, United States of America
5,2.6016666666666666%,5.0,DUFRY AG,Dimitrios Koutsolioutsos,Laguna Partners AG, Greece
6,3.492%,0.0,DUFRY AG,JPMorgan Chase & Co.,, USA
7,4.65%,0.0,DUFRY AG,"BlackRock, Inc.",,
8,4.95%,0.0,DUFRY AG,"Franklin Resources, Inc.",,
9,5.000001%,0.0,DUFRY AG,Compagnie Financiere Rupert,, Switzerland
10,5.05%,0.0,DUFRY AG,Government of Singapore,, Singapore
11,6.92%,0.0,DUFRY AG,"State of Qatar, Doha, Qatar",,
12,,,,BlackRock,, USA
13,,,,Franklin Resources,, USA
14,,,,State of Qatar,, Qatar
