,Anteil,Unnamed: 1,Company,BO,DS,Country
0,18.6%,0.0,Huber+Suhner AG,Metrohm AG,, Switzerland
1,3.07%,0.0,Huber+Suhner AG,Norges Bank (the Central Bank of Norway),, Norway
2,0.7975%,0.0,Huber+Suhner AG,Ruedi Huber,, Schweiz
3,0.7975%,1.0,Huber+Suhner AG,Helene Huber,Huwa Finanz- und Beteiligungs AG, Schweiz
4,0.7975%,2.0,Huber+Suhner AG,Nick Huber,, Schweiz
5,0.7975%,3.0,Huber+Suhner AG,Luc Hubeli,, Schweiz
6,3.84%,0.0,Huber+Suhner AG,HUBER+SUHNER AG,, Schweiz
7,5.23%,0.0,Huber+Suhner AG,Ernst Göhner Stiftung,, 6301 Zug
8,6.23%,0.0,Huber+Suhner AG,Hoffmann-Suhner Sylvia,,Hoffmann-Suhner Sylvia
9,,,,Tim Hubeli,, Schweiz
10,,,,Erik Daniel Huber,, Schweiz
11,,,,Nicklaus Hans Huber,, Schweiz
12,,,,Thibault Huber,, Schweiz
13,,,,Gian Huber,, Schweiz
14,,,,Erbengemeinschaft Hans Huber,,Erbengemeinschaft Hans Huber
