,Anteil,Unnamed: 1,Company,BO,DS,Country
0,4.7825%,0.0,INFICON Holding AG,Frey Beat,, Switzerland
1,4.7825%,1.0,INFICON Holding AG,Frey Brigitte,KWE Beteiligungen AG, Switzerland
2,4.7825%,2.0,INFICON Holding AG,Frey Vanessa,, Switzerland
3,4.7825%,3.0,INFICON Holding AG,Frey Alexandra,, UK
4,3.07%,0.0,INFICON Holding AG,"BlackRock, Inc. (Mother Company)",,
5,3.11%,0.0,INFICON Holding AG,1832 Asset Management L.P.,, Canada
6,3.189%,0.0,INFICON Holding AG,"Ameriprise Financial, Inc.",,
7,4.97%,0.0,INFICON Holding AG,UBS Fund Management (Switzerland) AG,, Schweiz
8,9.84%,0.0,INFICON Holding AG,Ruth Wertheimer,, 16
9,,,,Ameriprise Financial,, USA
10,,,,BlackRock,, USA
11,,,,B Shenkar St,, Israel
