,Anteil,Unnamed: 1,Company,BO,DS,Country
0,3.733333333333333%,0.0,Interroll Holding AG,Ghisalberti Moretti Bruna,,Ghisalberti Moretti Bruna
1,3.733333333333333%,1.0,Interroll Holding AG,Ghisalberti Marco,,Ghisalberti Marco
2,3.733333333333333%,2.0,Interroll Holding AG,Ghisalberti Fabio,,Ghisalberti Fabio
3,3.52%,0.0,Interroll Holding AG,Invesco Ltd.,, USA
4,4.27%,0.0,Interroll Holding AG,"Stiftung ""Erlebnispark Fördertechnik"" gGmbH",, Deutschland
5,4.9996%,0.0,Interroll Holding AG,Allianz SE,, Germany
6,5.12%,0.0,Interroll Holding AG,Groupama Asset Management,, Frankreich
7,3.27%,0.0,Interroll Holding AG,Dieter Specht,, Gruppaldo-Ronco s
8,3.27%,1.0,Interroll Holding AG,Ingo Specht,, CH
9,3.27%,2.0,Interroll Holding AG,Daniela Specht,, CH
10,,,,A,, CH
11,,,,Stefano Specht,, CH
12,,,,Moreschi Emilio,,Moreschi Emilio
