,Anteil,Unnamed: 1,Company,BO,DS,Country
0,0.871%,0.0,Partners Group Holding AG,Partners Group Holding AG,, Schweiz
1,4.996666666666667%,0.0,Partners Group Holding AG,Alfred Gantner,, Switzerland
2,4.996666666666667%,0.0,Partners Group Holding AG,Alfred Gantner,, 6315 Oberägeri
3,0.6544444444444444%,0.0,Partners Group Holding AG,Alfred Gantner,, Switzerland
4,0.6544444444444444%,0.0,Partners Group Holding AG,Alfred Gantner,, 6315 Oberägeri
5,0.6544444444444444%,0.0,Partners Group Holding AG,Alfred Gantner,, Switzerland
6,0.6544444444444444%,0.0,Partners Group Holding AG,Alfred Gantner,, 6315 Oberägeri
7,0.6544444444444444%,0.0,Partners Group Holding AG,Alfred Gantner,, Switzerland
8,0.6544444444444444%,0.0,Partners Group Holding AG,Alfred Gantner,, 6315 Oberägeri
9,4.996666666666667%,1.0,Partners Group Holding AG,Marcel Erni,, Switzerland
10,4.996666666666667%,1.0,Partners Group Holding AG,Marcel Erni,, 6300 Zug
11,0.6544444444444444%,0.0,Partners Group Holding AG,Marcel Erni,, Switzerland
12,0.6544444444444444%,0.0,Partners Group Holding AG,Marcel Erni,, 6300 Zug
13,0.6544444444444444%,0.0,Partners Group Holding AG,Marcel Erni,, Switzerland
14,0.6544444444444444%,0.0,Partners Group Holding AG,Marcel Erni,, 6300 Zug
15,0.6544444444444444%,0.0,Partners Group Holding AG,Marcel Erni,, Switzerland
16,0.6544444444444444%,0.0,Partners Group Holding AG,Marcel Erni,, 6300 Zug
17,4.996666666666667%,2.0,Partners Group Holding AG,Urs Wietlisbach,, Switzerland
18,4.996666666666667%,2.0,Partners Group Holding AG,Urs Wietlisbach,, 8834 Schindellegi
19,0.6544444444444444%,0.0,Partners Group Holding AG,Urs Wietlisbach,, Switzerland
20,0.6544444444444444%,0.0,Partners Group Holding AG,Urs Wietlisbach,, 8834 Schindellegi
21,0.6544444444444444%,0.0,Partners Group Holding AG,Urs Wietlisbach,, Switzerland
22,0.6544444444444444%,0.0,Partners Group Holding AG,Urs Wietlisbach,, 8834 Schindellegi
23,0.6544444444444444%,0.0,Partners Group Holding AG,Urs Wietlisbach,, Switzerland
24,0.6544444444444444%,0.0,Partners Group Holding AG,Urs Wietlisbach,, 8834 Schindellegi
25,7.84%,0.0,Partners Group Holding AG,"Morgan Stanley, c",,
26,7.84%,1.0,Partners Group Holding AG,o The Corporation Trust Company (DE),Morgan Stanley & Co. International plc, USA
27,6.14%,0.0,Partners Group Holding AG,"BlackRock, Inc.",,
28,,,,Morgan Stanley,, c
29,,,,BlackRock,, U.S.A. (Mother Company)
