,Anteil,Unnamed: 1,Company,BO,DS,Country
0,33.33%,0.0,Roche Holding AG,Novartis Holding AG,, Switzerland
1,11.2525%,0.0,Roche Holding AG,André Hoffmann,, Vaux-sur-Morges
2,11.2525%,1.0,Roche Holding AG,Marie-Anne Hoffmann,Artuma Holding AG, Gstaad
3,11.2525%,2.0,Roche Holding AG,Vera Michalski,, Montricher
4,11.2525%,3.0,Roche Holding AG,Alexander Hoffmann,, Singapore
5,5.057%,0.0,Roche Holding AG,Oeri Maja,, CH
6,,,,Frederic Hoffmann,, London
7,,,,Isabel Hoffmann,, London
8,,,,Lucas Hoffmann,, Gstaad
9,,,,Marina Hoffmann,, Gstaad
10,,,,Kasia Barbotin-Larrieu,, Versoix
11,,,,Tatiana Fabre,, Basel
12,,,,Andreas Oeri,, Basel
13,,,,Catherine Oeri,, Basel
14,,,,Sabine Duschmalé,, Basel
15,,,,Jörg Duschmalé,, Bettingen
16,,,,Lukas Duschmalé,, Basel
17,,,,Stiftung Wolf,, Basel
