,Anteil,Unnamed: 1,Company,BO,DS,Country
0,7.854285714285714%,0.0,SFS Group AG,Helene Huber,, Schweiz
1,7.854285714285714%,1.0,SFS Group AG,Niklaus Huber,HUWA Finanz- und Beteiligungs AG, Schweiz
2,7.854285714285714%,2.0,SFS Group AG,Rudolf Huber,Wistama Finanz- und Beteiligungs AG, Schweiz
3,7.854285714285714%,3.0,SFS Group AG,Karl Stadler,Catesta Verwaltungs AG, Schweiz
4,7.854285714285714%,4.0,SFS Group AG,Beatrice Stadler-Geisser,HAWAK Holding AG, Schweiz
5,7.854285714285714%,5.0,SFS Group AG,Bettina Stadler,, Schweiz
6,7.854285714285714%,6.0,SFS Group AG,Claude Stadler,, Schweiz
7,,,,Roger Stadler,, Schweiz
8,,,,Andreas Stadler,, Schweiz
9,,,,Christian Stadler,, Schweiz
10,,,,Thomas Stadler,, Schweiz
11,,,,Annelies Tschan-Stadler,, Schweiz
12,,,,Fabian Tschan,, Schweiz
13,,,,Lilly Stadler,, Schweiz
14,,,,Luc Hubeli,, Schweiz
15,,,,Tim Hubeli,, Schweiz
16,,,,Erik Daniel Huber,, Schweiz
17,,,,Nicklaus Hans Huber,, Schweiz
18,,,,Gian Huber,, Schweiz
19,,,,Thibault Huber,, Schweiz
20,,,,Erbengemeinschaft Hans Huber,,Erbengemeinschaft Hans Huber
