,Anteil,Unnamed: 1,Company,BO,DS,Country
0,3.25%,0.0,SoftwareONE Holding AG,Pictet Asset Management SA,, Switerzland
1,10.293333333333333%,0.0,SoftwareONE Holding AG,Beat Alex Curti,, Switerzland
2,10.293333333333333%,0.0,SoftwareONE Holding AG,Beat Alex Curti,, Switerzland
3,10.293333333333333%,0.0,SoftwareONE Holding AG,Beat Alex Curti,, Switerzland
4,8.3825%,0.0,SoftwareONE Holding AG,Beat Alex Curti,, Switerzland
5,8.3825%,0.0,SoftwareONE Holding AG,Beat Alex Curti,, Switerzland
6,8.3825%,0.0,SoftwareONE Holding AG,Beat Alex Curti,, Switerzland
7,10.241666666666667%,0.0,SoftwareONE Holding AG,Beat Alex Curti,, Switerzland
8,10.241666666666667%,0.0,SoftwareONE Holding AG,Beat Alex Curti,, Switerzland
9,10.241666666666667%,0.0,SoftwareONE Holding AG,Beat Alex Curti,, Switerzland
10,10.293333333333333%,1.0,SoftwareONE Holding AG,von Stockar-Scherrer-Castell Daniel Marc,B. Curti Holding AG, Switzerland
11,10.293333333333333%,1.0,SoftwareONE Holding AG,von Stockar-Scherrer-Castell Daniel Marc,B. Curti Holding AG, Switzerland
12,10.293333333333333%,1.0,SoftwareONE Holding AG,von Stockar-Scherrer-Castell Daniel Marc,B. Curti Holding AG, Switzerland
13,8.3825%,1.0,SoftwareONE Holding AG,von Stockar-Scherrer-Castell Daniel Marc,B. Curti Holding AG, Switzerland
14,8.3825%,1.0,SoftwareONE Holding AG,von Stockar-Scherrer-Castell Daniel Marc,B. Curti Holding AG, Switzerland
15,8.3825%,1.0,SoftwareONE Holding AG,von Stockar-Scherrer-Castell Daniel Marc,B. Curti Holding AG, Switzerland
16,10.241666666666667%,1.0,SoftwareONE Holding AG,von Stockar-Scherrer-Castell Daniel Marc,B. Curti Holding AG, Switzerland
17,10.241666666666667%,1.0,SoftwareONE Holding AG,von Stockar-Scherrer-Castell Daniel Marc,B. Curti Holding AG, Switzerland
18,10.241666666666667%,1.0,SoftwareONE Holding AG,von Stockar-Scherrer-Castell Daniel Marc,B. Curti Holding AG, Switzerland
19,10.293333333333333%,2.0,SoftwareONE Holding AG,René Rudolf Gilli,, Switerland
20,10.293333333333333%,2.0,SoftwareONE Holding AG,René Rudolf Gilli,, Switerland
21,10.293333333333333%,2.0,SoftwareONE Holding AG,René Rudolf Gilli,, Switerland
22,8.3825%,2.0,SoftwareONE Holding AG,René Rudolf Gilli,, Switerland
23,8.3825%,2.0,SoftwareONE Holding AG,René Rudolf Gilli,, Switerland
24,8.3825%,2.0,SoftwareONE Holding AG,René Rudolf Gilli,, Switerland
25,10.241666666666667%,2.0,SoftwareONE Holding AG,René Rudolf Gilli,Raiffeisen Informatik GmbH & Co KG, Switerland
26,10.241666666666667%,2.0,SoftwareONE Holding AG,René Rudolf Gilli,Raiffeisen Informatik GmbH & Co KG, Switerland
27,10.241666666666667%,2.0,SoftwareONE Holding AG,René Rudolf Gilli,Raiffeisen Informatik GmbH & Co KG, Switerland
28,8.3825%,3.0,SoftwareONE Holding AG,Peter Kurer,, Switzerland
29,4.07%,0.0,SoftwareONE Holding AG,Softwareone Holding AG,, Switerzland
30,6.78%,0.0,SoftwareONE Holding AG,"Current and former employees, officers and directors",,
31,10.241666666666667%,3.0,SoftwareONE Holding AG,Anastasia Karolina Nielsen,Westminster Bidco S.à r.l., Principality of Monaco
32,10.241666666666667%,4.0,SoftwareONE Holding AG,Leon Elias Winter,, Principality of Monaco
33,10.241666666666667%,5.0,SoftwareONE Holding AG,Raiffeisen-Holding Niederösteriech-Wien reg. Gen. mbH,, Austria
34,7.85%,0.0,SoftwareONE Holding AG,Marina Nielsen,, Principality of Monaco
35,7.85%,0.0,SoftwareONE Holding AG,Marina Nielsen,, Principality of Monaco
36,,,,Riaffeisenbank International AG,, Austria
37,,,,Kohlberg Kravis Roberts & Co. L.P.,, USA
38,,,,Current and former employees,, officers and directors
39,,,,Andreas Fleischmann,, Vienna
40,,,,Johnannes Peter Huth,, France
41,,,,Jean-Pierre Saad,, United Kingdom
42,,,,Marrie-Pierre Rogers,, Switerzland
43,,,,Timo Ihamuotila,, Switzerland
44,,,,José Alberto Duarte,, France
45,,,,Dieter Schlosser,, Singapore
46,,,,Alex Alexandrov,, USA
47,,,,Hans Grüter,, Switzerland
48,,,,Niel Lomax,, Switzerland
