,Anteil,Unnamed: 1,Company,BO,DS,Country
0,5.085%,0.0,Sonova Holding AG,Beda Diethelm,, Schweiz
1,5.085%,1.0,Sonova Holding AG,Annamaria Diethelm-Pandiani,, Schweiz
2,3.01%,0.0,Sonova Holding AG,"FIL Limited (""FIL"")",, Bermuda
3,3.02%,0.0,Sonova Holding AG,Affiliated Managers Group Inc.,, United States of America
4,5.1%,0.0,Sonova Holding AG,BlackRock Inc.,, USA
5,5.23%,0.0,Sonova Holding AG,Chase Nominees Ltd.,, United Kingdom
6,1.89%,0.0,Sonova Holding AG,Hans-Ulrich Rihs,, Switzerland
7,1.89%,1.0,Sonova Holding AG,Gabriella Rihs,, Sweitzerland
8,1.89%,2.0,Sonova Holding AG,Stefan Rihs,, Soho 38
9,,,,F,, China
