,Anteil,Unnamed: 1,Company,BO,DS,Country
0,10.03%,0.0,Temenos AG,"The Capital Group Companies, Inc.",,
1,10.83%,0.0,Temenos AG,Martin and Rosmarie Ebner,, Switzerland
2,2.54%,0.0,Temenos AG,TEMENOS AG,, Switzerland
3,4.14%,0.0,Temenos AG,Baillie Gifford & Co,, United Kingdom
4,4.94%,0.0,Temenos AG,"BlackRock, Inc.",,
5,5.11%,0.0,Temenos AG,"T. Rowe Price Associates, Inc.",,
6,6.35%,0.0,Temenos AG,BNP PARIBAS SA,, FRANCE
7,,,,T. Rowe Price Associates,, USA
8,,,,BlackRock,, USA
9,,,,The Capital Group Companies,, U.S.A.
