,Anteil,Unnamed: 1,Company,BO,DS,Country
0,0.7525%,0.0,UBS Group AG,Dodge & Cox International Stock Fund,, USA
1,0.7525%,0.0,UBS Group AG,Dodge & Cox International Stock Fund,, USA
2,0.7525%,0.0,UBS Group AG,Norges Bank (the Central Bank of Norway),, Norway
3,0.7525%,0.0,UBS Group AG,Norges Bank (the Central Bank of Norway),, Norway
4,3.02%,0.0,UBS Group AG,Artisan Partners Limited Partnership,, United States of America
5,3.03%,0.0,UBS Group AG,Dodge & Cox,, USA
6,3.05%,0.0,UBS Group AG,MFS Investment Management,, USA
7,4.99%,0.0,UBS Group AG,"BlackRock, Inc.",,
8,7.01%,0.0,UBS Group AG,UBS Group AG,, Schweiz
9,,,,BlackRock,, USA
