Company,"Marktkapitalisierung, in Mio.",,,,,
ABB Ltd.,40401.43,,,,,
Adecco Group AG,9153.04,,,,,
Alcon Inc.,28301.03,,,,,
Credit Suisse Group AG,28528.37,,,,,
Geberit AG,16064.03,,,,,
Givaudan SA,24140.4,,,,,
LafargeHolcim Ltd,28088.32,,,,,
Lonza Group AG,23298.04,,,,,
Nestlé AG,286794.69,,,,,
Novartis AG,215661.7,,,,,
Roche Holding AG,42171.23,,,,,
SGS SA,17855.1,,,,,
Sika AG,22578.54,,,,,
Swiss Life Holding AG,17370,,,,,
Swiss Re AG,69980.85,,,,,
Swisscom AG,24185.79,,,,,
UBS Group AG,42931.22,,,,,
Zurich Insurance Group AG,48573.61,,,,,
